index,date,points
478,2003-03-15,20
479,2003-03-17,26
480,2003-03-20,34
481,2003-03-21,13
482,2003-03-23,31
483,2003-03-25,28
484,2003-03-26,31
485,2003-03-28,55
486,2003-03-30,14
487,2003-03-31,29
488,2003-04-03,19
489,2003-04-04,21
490,2003-04-06,26
491,2003-04-08,14
492,2003-04-10,34
493,2003-04-13,36
494,2003-04-15,32
495,2003-04-16,44
496,2003-11-01,15
497,2003-11-02,21
498,2003-11-04,31
499,2003-11-06,37
500,2003-11-07,11
501,2003-11-10,19
502,2003-11-12,19
503,2003-11-14,16
504,2003-11-16,27
505,2003-11-18,19
506,2003-11-19,21
507,2003-11-21,28
508,2003-11-23,28
509,2003-11-26,22
510,2003-11-28,17
511,2003-11-30,12
512,2003-12-03,21
513,2003-12-04,32
514,2003-12-07,19
515,2003-12-09,21
516,2003-12-12,15
517,2003-12-13,35
518,2003-12-19,13
519,2003-12-21,10
520,2003-12-23,23
521,2003-12-25,23
522,2003-12-28,11
523,2004-01-02,32
524,2004-01-04,44
525,2004-01-06,20
526,2004-01-07,27
527,2004-01-09,26
528,2004-01-12,10
529,2004-01-24,21
530,2004-01-28,14
531,2004-02-11,14
532,2004-02-17,31
533,2004-02-18,35
534,2004-02-20,28
535,2004-02-22,40
536,2004-02-25,35
537,2004-02-26,35
538,2004-02-28,25
539,2004-02-29,11
540,2004-03-03,18
541,2004-03-05,0
542,2004-03-10,18
543,2004-03-12,16
544,2004-03-13,35
545,2004-03-15,38
546,2004-03-17,27
547,2004-03-19,27
548,2004-03-21,22
549,2004-03-24,36
550,2004-03-26,35
551,2004-03-28,34
552,2004-03-30,23
553,2004-04-01,26
554,2004-04-02,25
555,2004-04-04,28
556,2004-04-06,12
557,2004-04-09,33
558,2004-04-11,8
559,2004-04-13,45
560,2004-04-14,37
561,2004-11-02,25
562,2004-11-03,38
563,2004-11-05,28
564,2004-11-07,24
565,2004-11-09,31
566,2004-11-10,20
567,2004-11-12,41
568,2004-11-13,19
569,2004-11-17,23
570,2004-11-19,29
571,2004-11-21,29
572,2004-11-23,30
573,2004-11-26,40
574,2004-11-28,20
575,2004-11-30,20
576,2004-12-01,28
577,2004-12-03,10
578,2004-12-08,20
579,2004-12-11,37
580,2004-12-12,23
581,2004-12-14,35
582,2004-12-16,31
583,2004-12-17,36
584,2004-12-20,11
585,2004-12-22,29
586,2004-12-25,42
587,2004-12-28,48
588,2005-01-02,42
589,2005-01-04,17
590,2005-01-05,32
591,2005-01-07,27
592,2005-01-10,31
593,2005-01-12,16
594,2005-01-13,2
595,2005-02-13,26
596,2005-02-15,40
597,2005-02-22,21
598,2005-02-23,31
599,2005-02-25,20
600,2005-02-27,31
601,2005-02-28,30
602,2005-03-02,26
603,2005-03-04,40
604,2005-03-06,37
605,2005-03-08,41
606,2005-03-10,36
607,2005-03-12,32
608,2005-03-14,18
609,2005-03-15,20
610,2005-03-17,26
611,2005-03-18,12
612,2005-03-20,30
613,2005-03-22,43
614,2005-03-24,18
615,2005-03-27,34
616,2005-03-29,32
617,2005-03-31,26
618,2005-04-02,15
619,2005-04-03,9
620,2005-04-07,19
621,2005-04-08,42
622,2005-04-10,18
623,2005-04-11,20
624,2005-04-17,33
625,2005-04-18,22
626,2005-04-20,37
627,2005-11-02,33
628,2005-11-03,39
629,2005-11-06,37
630,2005-11-08,37
631,2005-11-09,28
632,2005-11-11,17
633,2005-11-14,18
634,2005-11-16,42
635,2005-11-18,36
636,2005-11-20,43
637,2005-11-24,34
638,2005-11-27,46
639,2005-11-29,25
640,2005-12-01,30
641,2005-12-02,20
642,2005-12-04,29
643,2005-12-06,33
644,2005-12-07,11
645,2005-12-09,23
646,2005-12-10,35
647,2005-12-12,43
648,2005-12-14,27
649,2005-12-16,41
650,2005-12-18,24
651,2005-12-20,62
652,2005-12-23,21
653,2005-12-25,37
654,2005-12-26,31
655,2005-12-28,45
656,2006-01-06,48
657,2006-01-07,50
658,2006-01-09,45
659,2006-01-11,41
660,2006-01-12,27
661,2006-01-14,38
662,2006-01-16,37
663,2006-01-19,51
664,2006-01-20,37
665,2006-01-22,81
666,2006-01-27,30
667,2006-01-29,39
668,2006-01-31,40
669,2006-02-01,26
670,2006-02-03,35
671,2006-02-04,35
672,2006-02-07,24
673,2006-02-08,32
674,2006-02-11,26
675,2006-02-13,23
676,2006-02-15,39
677,2006-02-21,27
678,2006-02-23,36
679,2006-02-24,39
680,2006-02-26,40
681,2006-02-28,28
682,2006-03-01,35
683,2006-03-03,42
684,2006-03-04,40
685,2006-03-06,43
686,2006-03-08,40
687,2006-03-10,29
688,2006-03-12,22
689,2006-03-14,30
690,2006-03-15,25
691,2006-03-17,24
692,2006-03-19,38
693,2006-03-20,43
694,2006-03-22,28
695,2006-03-24,43
696,2006-03-26,30
697,2006-03-30,23
698,2006-03-31,43
699,2006-04-02,43
700,2006-04-06,42
701,2006-04-07,51
702,2006-04-09,38
703,2006-04-11,31
704,2006-04-14,50
705,2006-04-16,43
706,2006-04-19,35
707,2006-11-03,23
708,2006-11-05,15
709,2006-11-07,17
710,2006-11-08,32
711,2006-11-10,19
712,2006-11-12,21
713,2006-11-17,31
714,2006-11-19,18
715,2006-11-21,40
716,2006-11-24,27
717,2006-11-26,19
718,2006-11-28,27
719,2006-11-30,52
720,2006-12-02,29
721,2006-12-04,21
722,2006-12-06,24
723,2006-12-10,34
724,2006-12-12,23
725,2006-12-13,33
726,2006-12-15,53
727,2006-12-17,45
728,2006-12-19,19
729,2006-12-20,24
730,2006-12-22,21
731,2006-12-25,16
732,2006-12-27,27
733,2006-12-29,58
734,2006-12-31,35
735,2007-01-04,42
736,2007-01-05,8
737,2007-01-07,26
738,2007-01-09,25
739,2007-01-10,20
740,2007-01-12,28
741,2007-01-15,25
742,2007-01-17,34
743,2007-01-18,26
744,2007-01-20,23
745,2007-01-22,42
746,2007-01-26,32
747,2007-01-28,31
748,2007-01-31,43
749,2007-02-02,22
750,2007-02-03,39
751,2007-02-05,27
752,2007-02-08,18
753,2007-02-09,25
754,2007-02-11,36
755,2007-02-13,31
756,2007-02-15,34
757,2007-02-21,25
758,2007-02-23,38
759,2007-02-25,26
760,2007-02-26,35
761,2007-03-02,30
762,2007-03-04,31
763,2007-03-06,40
764,2007-03-09,30
765,2007-03-11,25
766,2007-03-15,25
767,2007-03-16,65
768,2007-03-18,50
769,2007-03-22,60
770,2007-03-23,50
771,2007-03-25,43
772,2007-03-27,23
773,2007-03-30,53
774,2007-04-01,19
775,2007-04-03,39
776,2007-04-04,29
777,2007-04-06,46
778,2007-04-08,34
779,2007-04-09,23
780,2007-04-12,50
781,2007-04-13,17
782,2007-04-15,50
783,2007-04-18,34
784,2007-10-30,45
785,2007-11-02,16
786,2007-11-04,33
787,2007-11-06,28
788,2007-11-09,30
789,2007-11-13,18
790,2007-11-14,30
791,2007-11-16,19
792,2007-11-18,18
793,2007-11-20,32
794,2007-11-21,27
795,2007-11-23,28
796,2007-11-25,31
797,2007-11-27,35
798,2007-11-29,24
799,2007-11-30,28
800,2007-12-02,28
801,2007-12-04,20
802,2007-12-05,25
803,2007-12-09,28
804,2007-12-13,30
805,2007-12-14,21
806,2007-12-16,32
807,2007-12-18,18
808,2007-12-20,21
809,2007-12-21,19
810,2007-12-23,39
811,2007-12-25,38
812,2007-12-28,31
813,2007-12-30,22
814,2008-01-04,15
815,2008-01-06,26
816,2008-01-08,25
817,2008-01-09,19
818,2008-01-11,37
819,2008-01-13,37
820,2008-01-14,48
821,2008-01-17,30
822,2008-01-21,17
823,2008-01-23,29
824,2008-01-25,40
825,2008-01-27,33
826,2008-01-29,24
827,2008-01-31,39
828,2008-02-01,46
829,2008-02-03,30
830,2008-02-05,6
831,2008-02-06,11
832,2008-02-08,36
833,2008-02-10,33
834,2008-02-11,31
835,2008-02-13,29
836,2008-02-19,23
837,2008-02-20,41
838,2008-02-23,17
839,2008-02-24,21
840,2008-02-26,30
841,2008-02-28,21
842,2008-02-29,33
843,2008-03-02,52
844,2008-03-04,34
845,2008-03-07,16
846,2008-03-09,26
847,2008-03-11,34
848,2008-03-14,36
849,2008-03-16,24
850,2008-03-18,29
851,2008-03-20,27
852,2008-03-21,23
853,2008-03-23,36
854,2008-03-24,30
855,2008-03-26,27
856,2008-03-28,53
857,2008-03-30,26
858,2008-04-02,36
859,2008-04-04,25
860,2008-04-06,29
861,2008-04-08,34
862,2008-04-10,16
863,2008-04-11,29
864,2008-04-13,20
865,2008-04-15,20
866,2008-10-28,23
867,2008-10-29,16
868,2008-11-01,33
869,2008-11-05,27
870,2008-11-09,23
871,2008-11-11,27
872,2008-11-12,20
873,2008-11-14,29
874,2008-11-18,21
875,2008-11-20,24
876,2008-11-21,29
877,2008-11-23,24
878,2008-11-25,12
879,2008-11-28,35
880,2008-11-30,23
881,2008-12-02,28
882,2008-12-03,32
883,2008-12-05,23
884,2008-12-07,20
885,2008-12-09,28
886,2008-12-10,18
887,2008-12-12,32
888,2008-12-14,26
889,2008-12-16,28
890,2008-12-19,28
891,2008-12-20,41
892,2008-12-22,36
893,2008-12-23,26
894,2008-12-25,27
895,2008-12-28,31
896,2009-01-02,40
897,2009-01-04,26
898,2009-01-06,39
899,2009-01-07,21
900,2009-01-09,36
901,2009-01-11,19
902,2009-01-13,33
903,2009-01-14,29
904,2009-01-16,28
905,2009-01-19,20
906,2009-01-21,18
907,2009-01-22,11
908,2009-01-25,22
909,2009-01-27,38
910,2009-01-30,30
911,2009-01-31,25
912,2009-02-02,61
913,2009-02-04,36
914,2009-02-05,26
915,2009-02-08,19
916,2009-02-10,34
917,2009-02-11,37
918,2009-02-17,10
919,2009-02-18,30
920,2009-02-20,39
921,2009-02-22,28
922,2009-02-24,36
923,2009-02-26,22
924,2009-02-27,29
925,2009-03-01,49
926,2009-03-03,31
927,2009-03-06,23
928,2009-03-09,26
929,2009-03-11,37
930,2009-03-12,23
931,2009-03-15,28
932,2009-03-17,11
933,2009-03-19,21
934,2009-03-21,28
935,2009-03-24,19
936,2009-03-26,30
937,2009-03-27,14
938,2009-03-29,17
939,2009-03-31,25
940,2009-04-01,30
941,2009-04-03,20
942,2009-04-05,18
943,2009-04-07,22
944,2009-04-09,33
945,2009-04-10,32
946,2009-04-12,16
947,2009-04-14,16
948,2009-10-27,33
949,2009-10-30,20
950,2009-11-01,41
951,2009-11-03,31
952,2009-11-04,41
953,2009-11-06,41
954,2009-11-08,28
955,2009-11-12,29
956,2009-11-13,19
957,2009-11-15,18
958,2009-11-17,40
959,2009-11-19,21
960,2009-11-22,26
961,2009-11-24,34
962,2009-11-28,20
963,2009-11-29,30
964,2009-12-01,18
965,2009-12-04,33
966,2009-12-06,26
967,2009-12-09,27
968,2009-12-11,20
969,2009-12-12,16
970,2009-12-15,42
971,2009-12-16,39
972,2009-12-19,29
973,2009-12-20,28
974,2009-12-22,40
975,2009-12-25,35
976,2009-12-26,38
977,2009-12-28,34
978,2009-12-29,44
979,2010-01-01,39
980,2010-01-03,15
981,2010-01-05,22
982,2010-01-06,33
983,2010-01-08,32
984,2010-01-10,12
985,2010-01-12,16
986,2010-01-13,10
987,2010-01-15,30
988,2010-01-18,11
989,2010-01-21,31
990,2010-01-22,27
991,2010-01-24,27
992,2010-01-26,26
993,2010-01-27,29
994,2010-01-29,24
995,2010-01-31,19
996,2010-02-01,44
