index,date,points,fgp
363,2008-02-20,31,.500
364,2008-02-22,33,.550
365,2008-02-24,25,.588
366,2008-02-26,35,.667
367,2008-02-27,26,.292
368,2008-02-29,30,.500
369,2008-03-02,37,.517
370,2008-03-05,50,.533
371,2008-03-06,39,.481
372,2008-03-08,38,.458
373,2008-03-10,24,.389
374,2008-03-12,42,.522
375,2008-03-13,25,.409
376,2008-03-16,33,.458
377,2008-03-17,30,.500
378,2008-03-19,30,.579
379,2008-03-21,29,.636
380,2008-03-22,29,.360
381,2008-03-26,21,.429
382,2008-03-29,13,.235
383,2008-03-30,26,.611
384,2008-04-02,29,.579
385,2008-04-03,33,.417
386,2008-04-05,17,.273
387,2008-04-09,33,.524
388,2008-04-11,34,.619
389,2008-04-13,13,.333
390,2008-04-14,27,.556
391,2008-10-28,22,.429
392,2008-10-30,22,.467
393,2008-11-01,15,.400
394,2008-11-03,29,.400
395,2008-11-05,41,.565
396,2008-11-07,27,.458
397,2008-11-08,41,.448
398,2008-11-11,41,.667
399,2008-11-13,22,.500
400,2008-11-15,38,.619
401,2008-11-18,31,.450
402,2008-11-19,25,.381
403,2008-11-22,24,.421
404,2008-11-25,26,.500
405,2008-11-26,14,.583
406,2008-11-28,23,.692
407,2008-11-29,32,.444
408,2008-12-03,21,.500
409,2008-12-05,11,.333
410,2008-12-06,25,.471
411,2008-12-09,31,.611
412,2008-12-10,29,.455
413,2008-12-12,28,.429
414,2008-12-13,33,.526
415,2008-12-17,32,.700
416,2008-12-19,33,.650
417,2008-12-21,31,.583
418,2008-12-23,27,.478
419,2008-12-25,18,.462
420,2008-12-28,33,.632
421,2008-12-30,38,.500
422,2009-01-02,16,.375
423,2009-01-04,30,.500
424,2009-01-07,21,.563
425,2009-01-09,38,.520
426,2009-01-13,30,.600
427,2009-01-15,28,.286
428,2009-01-16,29,.500
429,2009-01-19,23,.360
430,2009-01-21,34,.467
431,2009-01-23,32,.417
432,2009-01-24,33,.519
433,2009-01-27,23,.500
434,2009-01-29,23,.370
435,2009-01-30,25,.529
436,2009-02-01,33,.480
437,2009-02-03,33,.450
438,2009-02-04,52,.515
439,2009-02-08,16,.250
440,2009-02-10,47,.714
441,2009-02-11,26,.500
442,2009-02-18,20,.529
443,2009-02-20,55,.552
444,2009-02-22,20,.462
445,2009-02-24,15,.400
446,2009-02-26,21,.333
447,2009-02-27,30,.522
448,2009-03-01,26,.400
449,2009-03-02,42,.619
450,2009-03-04,23,.636
451,2009-03-06,21,.333
452,2009-03-07,14,.333
453,2009-03-10,32,.435
454,2009-03-12,34,.417
455,2009-03-13,51,.533
456,2009-03-15,19,.529
457,2009-03-17,43,.556
458,2009-03-19,26,.455
459,2009-03-21,22,.429
460,2009-03-22,30,.529
461,2009-03-25,22,.500
462,2009-03-27,25,.571
463,2009-03-29,24,.409
464,2009-03-31,25,.375
465,2009-04-02,31,.611
466,2009-04-03,26,.350
467,2009-04-05,38,.667
468,2009-04-08,21,.467
469,2009-04-10,27,.471
470,2009-04-12,29,.643
471,2009-04-13,37,.522
472,2009-10-27,38,.545
473,2009-10-28,23,.368
474,2009-10-30,24,.556
475,2009-10-31,14,.455
476,2009-11-03,27,.438
477,2009-11-05,25,.529
478,2009-11-06,33,.706
479,2009-11-11,36,.565
480,2009-11-12,34,.400
481,2009-11-14,21,.400
482,2009-11-17,31,.579
483,2009-11-18,34,.600
484,2009-11-20,40,.520
485,2009-11-21,32,.650
486,2009-11-25,34,.500
487,2009-11-27,25,.526
488,2009-11-28,25,.500
489,2009-12-02,12,.400
490,2009-12-04,23,.471
491,2009-12-06,14,.400
492,2009-12-08,43,.483
493,2009-12-09,27,.381
494,2009-12-11,33,.583
495,2009-12-13,44,.552
496,2009-12-15,23,.474
497,2009-12-16,36,.462
498,2009-12-18,26,.462
499,2009-12-20,25,.391
500,2009-12-21,29,.524
501,2009-12-23,34,.467
502,2009-12-25,26,.474
503,2009-12-27,29,.600
504,2009-12-29,14,.300
505,2009-12-30,48,.652
506,2010-01-02,28,.438
507,2010-01-03,29,.619
508,2010-01-06,23,.583
509,2010-01-08,35,.429
510,2010-01-10,41,.684
511,2010-01-11,37,.522
512,2010-01-14,36,.600
513,2010-01-16,32,.600
514,2010-01-19,28,.444
515,2010-01-21,37,.520
516,2010-01-23,37,.474
517,2010-01-25,32,.391
518,2010-01-27,12,.375
519,2010-01-29,22,.333
520,2010-01-31,32,.500
521,2010-02-02,22,.500
522,2010-02-04,36,.563
523,2010-02-06,47,.548
524,2010-02-09,32,.619
525,2010-02-11,32,.476
526,2010-02-18,43,.455
527,2010-02-19,22,.429
528,2010-02-21,33,.480
529,2010-02-23,20,.438
530,2010-02-25,36,.478
531,2010-02-26,36,.588
532,2010-03-01,22,.529
533,2010-03-03,26,.556
534,2010-03-05,40,.593
535,2010-03-12,23,.389
536,2010-03-14,30,.429
537,2010-03-16,29,.455
538,2010-03-17,32,.458
539,2010-03-19,29,.429
540,2010-03-21,15,.556
541,2010-03-24,38,.682
542,2010-03-26,27,.524
543,2010-03-28,34,.591
544,2010-03-31,23,.412
545,2010-04-02,27,.550
546,2010-04-04,42,.452
547,2010-04-06,19,.385
548,2010-10-26,31,.476
549,2010-10-27,16,.417
550,2010-10-29,15,.462
551,2010-10-31,20,.417
552,2010-11-02,20,.583
553,2010-11-05,20,.375
554,2010-11-06,23,.563
555,2010-11-09,20,.278
556,2010-11-11,35,.429
557,2010-11-13,23,.381
558,2010-11-17,20,.600
559,2010-11-19,32,.480
560,2010-11-20,29,.478
561,2010-11-22,25,.429
562,2010-11-24,25,.500
563,2010-11-26,20,.333
564,2010-11-27,23,.263
565,2010-11-29,30,.556
566,2010-12-01,18,.533
567,2010-12-02,38,.600
568,2010-12-04,22,.455
569,2010-12-06,17,.438
570,2010-12-08,33,.600
571,2010-12-10,25,.556
572,2010-12-11,25,.526
573,2010-12-13,20,.375
574,2010-12-15,21,.333
575,2010-12-17,32,.609
576,2010-12-18,32,.474
577,2010-12-20,19,.353
578,2010-12-23,36,.591
579,2010-12-25,27,.571
580,2010-12-28,18,.471
581,2010-12-29,20,.533
582,2011-01-01,25,.467
583,2011-01-03,38,.577
584,2011-01-04,25,.533
585,2011-01-07,26,.348
586,2011-01-09,44,.654
587,2011-01-12,27,.458
588,2011-01-18,34,.367
589,2011-01-22,38,.483
590,2011-01-27,24,.292
591,2011-01-28,39,.600
592,2011-01-30,23,.500
593,2011-01-31,24,.500
594,2011-02-03,51,.680
595,2011-02-04,19,.538
596,2011-02-06,12,.400
597,2011-02-08,41,.652
598,2011-02-11,16,.412
599,2011-02-13,22,.476
600,2011-02-15,27,.550
601,2011-02-16,23,.444
602,2011-02-22,31,.538
603,2011-02-24,29,.571
604,2011-02-25,25,.455
605,2011-02-27,27,.500
606,2011-03-03,29,.688
607,2011-03-04,26,.579
608,2011-03-06,26,.556
609,2011-03-08,31,.700
610,2011-03-10,19,.412
611,2011-03-12,27,.625
612,2011-03-14,21,.421
613,2011-03-16,19,.381
614,2011-03-18,43,.762
615,2011-03-19,33,.600
616,2011-03-23,19,.500
617,2011-03-25,32,.647
618,2011-03-27,33,.619
619,2011-03-29,27,.476
620,2011-03-30,35,.750
621,2011-04-01,27,.550
622,2011-04-03,31,.722
623,2011-04-06,29,.455
624,2011-04-08,23,.563
625,2011-04-10,27,.579
626,2011-04-11,34,.476
627,2011-12-25,37,.579
628,2011-12-27,26,.643
629,2011-12-28,35,.565
630,2011-12-30,34,.615
631,2012-01-01,16,.600
632,2012-01-02,28,.611
633,2012-01-04,33,.571
634,2012-01-07,32,.647
635,2012-01-10,26,.526
636,2012-01-11,23,.368
637,2012-01-13,35,.650
638,2012-01-17,33,.571
639,2012-01-19,31,.444
640,2012-01-21,28,.706
641,2012-01-22,28,.444
642,2012-01-24,18,.381
643,2012-01-25,32,.450
644,2012-01-27,31,.611
645,2012-01-29,35,.522
646,2012-01-30,22,.667
647,2012-02-01,40,.583
648,2012-02-03,19,.500
649,2012-02-05,30,.588
650,2012-02-07,24,.563
651,2012-02-08,17,.333
652,2012-02-10,18,.429
653,2012-02-12,23,.400
654,2012-02-13,35,.762
655,2012-02-14,23,.467
656,2012-02-17,28,.579
657,2012-02-19,25,.643
658,2012-02-21,18,.636
659,2012-02-23,20,.438
660,2012-03-01,38,.591
661,2012-03-02,35,.667
662,2012-03-04,25,.462
663,2012-03-06,21,.818
664,2012-03-07,31,.600
665,2012-03-10,27,.421
666,2012-03-13,19,.350
667,2012-03-14,35,.560
668,2012-03-16,29,.600
669,2012-03-18,14,.286
670,2012-03-20,20,.444
671,2012-03-23,17,.400
672,2012-03-25,17,.444
673,2012-03-26,24,.429
674,2012-03-29,19,.500
