index,dates,points
456,1991-01-03,32
457,1991-01-05,30
458,1991-01-08,41
459,1991-01-09,40
460,1991-01-11,31
461,1991-01-12,33
462,1991-01-14,34
463,1991-01-16,29
464,1991-01-18,30
465,1991-01-21,37
466,1991-01-23,35
467,1991-01-25,26
468,1991-01-31,36
469,1991-02-01,31
470,1991-02-03,23
471,1991-02-04,24
472,1991-02-07,30
473,1991-02-12,32
474,1991-02-14,29
475,1991-02-16,26
476,1991-02-18,32
477,1991-02-19,40
478,1991-02-22,34
479,1991-02-23,29
480,1991-02-26,39
481,1991-03-01,29
482,1991-03-02,22
483,1991-03-05,30
484,1991-03-08,37
485,1991-03-10,25
486,1991-03-12,20
487,1991-03-13,39
488,1991-03-15,34
489,1991-03-16,37
490,1991-03-18,31
491,1991-03-20,22
492,1991-03-22,20
493,1991-03-23,39
494,1991-03-25,34
495,1991-03-28,42
496,1991-03-29,20
497,1991-03-31,37
498,1991-04-02,44
499,1991-04-04,34
500,1991-04-05,39
501,1991-04-07,41
502,1991-04-09,28
503,1991-04-10,28
504,1991-04-12,40
505,1991-04-15,46
506,1991-04-17,26
507,1991-04-19,41
508,1991-04-21,18
509,1991-11-01,26
510,1991-11-02,46
511,1991-11-05,40
512,1991-11-06,44
513,1991-11-08,26
514,1991-11-09,27
515,1991-11-12,20
516,1991-11-13,35
517,1991-11-15,17
518,1991-11-20,35
519,1991-11-22,31
520,1991-11-23,37
521,1991-11-26,23
522,1991-11-29,40
523,1991-11-30,30
524,1991-12-04,16
525,1991-12-06,19
526,1991-12-07,32
527,1991-12-10,19
528,1991-12-13,27
529,1991-12-14,29
530,1991-12-17,21
531,1991-12-20,24
532,1991-12-21,37
533,1991-12-25,14
534,1991-12-26,34
535,1991-12-28,33
536,1991-12-30,29
537,1992-01-03,44
538,1992-01-04,27
539,1992-01-07,21
540,1992-01-08,40
541,1992-01-10,37
542,1992-01-11,30
543,1992-01-14,26
544,1992-01-16,35
545,1992-01-17,31
546,1992-01-19,34
547,1992-01-21,30
548,1992-01-22,23
549,1992-01-24,20
550,1992-01-25,35
551,1992-01-28,39
552,1992-01-30,22
553,1992-01-31,25
554,1992-02-02,33
555,1992-02-03,34
556,1992-02-11,34
557,1992-02-13,17
558,1992-02-15,29
559,1992-02-17,46
560,1992-02-19,27
561,1992-02-21,33
562,1992-02-22,30
563,1992-02-25,23
564,1992-02-26,26
565,1992-02-28,24
566,1992-03-01,31
567,1992-03-03,27
568,1992-03-05,33
569,1992-03-06,27
570,1992-03-08,34
571,1992-03-11,32
572,1992-03-14,26
573,1992-03-16,37
574,1992-03-17,40
575,1992-03-19,51
576,1992-03-21,25
577,1992-03-24,50
578,1992-03-28,44
579,1992-03-31,36
580,1992-04-01,31
581,1992-04-03,15
582,1992-04-05,26
583,1992-04-07,30
584,1992-04-10,35
585,1992-04-11,23
586,1992-04-13,12
587,1992-04-17,21
588,1992-04-19,32
589,1992-11-06,29
590,1992-11-07,35
591,1992-11-09,24
592,1992-11-11,37
593,1992-11-13,34
594,1992-11-14,18
595,1992-11-17,32
596,1992-11-19,35
597,1992-11-20,54
598,1992-11-22,40
599,1992-11-24,49
600,1992-11-28,17
601,1992-12-04,38
602,1992-12-05,24
603,1992-12-08,32
604,1992-12-09,28
605,1992-12-11,26
606,1992-12-12,38
607,1992-12-15,25
608,1992-12-17,28
609,1992-12-19,23
610,1992-12-21,18
611,1992-12-23,57
612,1992-12-25,42
613,1992-12-26,17
614,1992-12-29,28
615,1992-12-30,39
616,1993-01-02,39
617,1993-01-05,36
618,1993-01-06,23
619,1993-01-08,35
620,1993-01-09,30
621,1993-01-12,23
622,1993-01-15,26
623,1993-01-16,64
624,1993-01-18,29
625,1993-01-21,30
626,1993-01-22,28
627,1993-01-24,42
628,1993-01-26,15
629,1993-01-28,26
630,1993-01-30,39
631,1993-02-01,37
