index,date,points,fgp
614,2017-04-12,27,.615
615,2017-10-17,27,.435
616,2017-10-18,27,.381
617,2017-10-21,29,.526
618,2017-10-23,22,.400
619,2017-10-25,27,.500
620,2017-10-27,27,.444
621,2017-10-28,20,.316
622,2017-10-30,29,.381
623,2017-11-01,31,.391
624,2017-11-03,29,.533
625,2017-11-05,56,.760
626,2017-11-09,35,.381
627,2017-11-11,38,.440
628,2017-11-12,26,.429
629,2017-11-14,38,.320
630,2017-11-16,48,.545
631,2017-11-18,29,.450
632,2017-11-22,21,.375
633,2017-11-25,37,.444
634,2017-11-27,37,.650
635,2017-11-29,29,.364
636,2017-12-03,36,.591
637,2017-12-07,29,.421
638,2017-12-09,48,.552
639,2017-12-11,26,.500
640,2017-12-13,21,.364
641,2017-12-15,28,.333
642,2017-12-16,31,.381
643,2017-12-18,26,.353
644,2017-12-20,51,.556
645,2017-12-22,51,.536
646,2017-12-25,29,.389
647,2017-12-28,34,.259
648,2017-12-29,20,.500
649,2017-12-31,40,.500
650,2018-01-18,10,.200
651,2018-01-20,22,.500
652,2018-01-22,28,.385
653,2018-01-24,25,.563
654,2018-01-26,23,.313
655,2018-01-28,27,.381
656,2018-01-30,60,.633
657,2018-02-01,28,.500
658,2018-02-03,16,.313
659,2018-02-06,36,.478
660,2018-02-07,41,.520
661,2018-02-09,28,.438
662,2018-02-11,27,.316
663,2018-02-13,34,.500
664,2018-02-14,28,.368
665,2018-02-23,31,.320
666,2018-02-25,41,.550
667,2018-02-26,26,.615
668,2018-02-28,25,.500
669,2018-03-03,26,.333
670,2018-03-06,23,.615
671,2018-03-07,26,.400
672,2018-03-09,40,.682
673,2018-03-12,28,.353
674,2018-03-15,24,.438
675,2018-03-17,32,.393
676,2018-03-18,34,.500
677,2018-03-20,42,.520
678,2018-03-22,21,.200
679,2018-03-24,27,.458
680,2018-03-25,18,.400
681,2018-03-30,28,.381
682,2018-04-01,25,.421
683,2018-04-03,38,.667
684,2018-04-05,24,.538
685,2018-04-07,26,.438
686,2018-04-10,21,.400
687,2018-10-17,18,.400
688,2018-10-20,36,.526
689,2018-10-21,31,.423
690,2018-10-24,29,.526
691,2018-11-03,25,.412
692,2018-11-05,28,.467
693,2018-11-08,19,.368
694,2018-11-10,25,.259
695,2018-11-11,40,.450
696,2018-11-13,22,.438
697,2018-11-15,27,.348
698,2018-11-17,34,.588
699,2018-11-21,43,.500
700,2018-11-23,33,.333
701,2018-11-24,40,.467
702,2018-11-26,54,.531
703,2018-11-28,25,.467
704,2018-11-30,23,.450
705,2018-12-01,30,.563
706,2018-12-03,29,.471
707,2018-12-06,15,.313
708,2018-12-08,35,.500
709,2018-12-11,29,.476
710,2018-12-13,50,.538
711,2018-12-15,32,.643
712,2018-12-17,47,.452
713,2018-12-19,35,.556
714,2018-12-20,35,.304
715,2018-12-22,39,.353
