index,date,points,fgp,result
217,2012-04-18,40,.706,W (+12)
218,2012-04-20,20,.500,W (+11)
219,2012-04-22,14,.714,L (-8)
220,2012-10-31,37,.560,W (+9)
221,2012-11-02,45,.737,W (+7)
222,2012-11-03,24,.333,L (-10)
223,2012-11-07,15,.333,L (-6)
224,2012-11-09,18,.222,L (-8)
225,2012-11-10,20,.429,W (+14)
226,2012-11-12,22,.353,L (-3)
227,2012-11-14,30,.500,W (+4)
228,2012-11-16,29,.444,L (-2)
229,2012-11-18,20,.389,L (-11)
230,2012-11-19,6,.167,L (-11)
231,2012-11-21,28,.571,W (+4)
232,2012-11-23,33,.467,W (+28)
233,2012-11-27,24,.474,W (+16)
234,2012-11-28,17,.188,L (-22)
235,2012-12-01,18,.438,W (+8)
236,2012-12-04,15,.158,W (+2)
237,2012-12-07,29,.625,L (-22)
238,2012-12-08,39,.588,L (-7)
239,2012-12-12,31,.500,L (-8)
240,2012-12-14,21,.353,W (+6)
241,2012-12-16,28,.389,W (+12)
242,2012-12-17,28,.500,L (-7)
243,2012-12-19,33,.583,W (+13)
244,2012-12-22,31,.692,W (+22)
245,2012-12-25,26,.538,W (+25)
246,2012-12-26,30,.500,W (+23)
247,2012-12-28,33,.455,W (+3)
248,2012-12-29,25,.353,L (-6)
249,2012-12-31,28,.412,L (-30)
250,2013-01-02,31,.478,W (+19)
251,2013-01-04,29,.611,W (+12)
252,2013-01-05,29,.353,W (+14)
253,2013-01-08,31,.579,W (+8)
254,2013-01-09,25,.500,W (+13)
255,2013-01-11,24,.474,L (-9)
256,2013-01-12,29,.526,L (-12)
257,2013-01-15,23,.400,L (-7)
258,2013-01-16,20,.217,L (-8)
259,2013-01-18,17,.263,L (-5)
260,2013-01-19,18,.278,L (-10)
261,2013-01-21,29,.250,L (-13)
262,2013-01-23,23,.471,W (+6)
263,2013-01-25,30,.533,L (-10)
264,2013-01-26,29,.467,W (+18)
265,2013-01-28,25,.533,W (+13)
266,2013-01-30,21,.462,W (+45)
267,2013-02-02,21,.545,L (-8)
268,2013-02-05,18,.455,W (+14)
269,2013-02-06,36,.625,W (+31)
270,2013-02-08,35,.813,L (-6)
271,2013-02-10,30,.500,W (+15)
272,2013-02-12,27,.318,L (-6)
273,2013-02-20,46,.737,W (+9)
274,2013-02-22,22,.500,L (-10)
275,2013-02-23,27,.435,W (+3)
276,2013-02-27,25,.444,W (+10)
277,2013-03-01,24,.389,L (-2)
278,2013-03-03,21,.500,L (-3)
279,2013-03-06,28,.294,W (+8)
280,2013-03-08,20,.176,W (+33)
281,2013-03-09,38,.647,L (-4)
282,2013-03-13,18,.571,W (+6)
283,2013-03-15,37,.500,L (-2)
284,2013-03-17,21,.375,W (+30)
285,2013-03-20,29,.357,W (+8)
286,2013-03-22,20,.556,L (-30)
287,2013-03-24,29,.375,W (+7)
288,2013-03-27,22,.250,W (+38)
289,2013-03-29,7,.333,W (+1)
290,2013-04-03,21,.368,L (-9)
291,2013-04-05,33,.524,L (-9)
292,2013-04-06,14,.200,W (+17)
293,2013-04-09,33,.429,W (+8)
294,2013-04-12,30,.292,W (+10)
295,2013-04-14,29,.688,W (+18)
296,2013-04-15,16,.278,L (-18)
297,2013-04-17,30,.320,W (+3)
298,2013-10-30,21,.438,W (+13)
299,2013-11-01,34,.647,W (+8)
300,2013-11-02,23,.467,W (+11)
301,2013-11-04,15,.375,L (-19)
302,2013-11-05,33,.611,W (+15)
303,2013-11-07,35,.375,L (-1)
304,2013-11-09,12,.267,L (-13)
305,2013-11-11,26,.368,W (+6)
306,2013-11-14,36,.529,L (-6)
307,2013-11-16,17,.313,W (+3)
308,2013-11-19,15,.625,W (+11)
309,2013-11-20,23,.429,W (+24)
310,2013-11-29,9,.250,L (-3)
311,2013-11-30,31,.526,W (+11)
312,2013-12-02,37,.545,W (+7)
313,2013-12-04,14,.176,W (+29)
314,2013-12-06,34,.591,W (+19)
315,2013-12-08,27,.412,W (+6)
316,2013-12-12,25,.444,L (-6)
317,2013-12-13,26,.409,L (-9)
318,2013-12-15,25,.444,W (+22)
319,2013-12-18,19,.538,W (+10)
320,2013-12-20,12,.214,L (-7)
321,2013-12-25,28,.688,W (+4)
322,2013-12-26,27,.222,L (-15)
323,2013-12-28,21,.412,W (+15)
324,2013-12-29,8,.222,L (-33)
325,2013-12-31,38,.462,W (+17)
326,2014-01-03,37,.526,L (-7)
327,2014-01-08,38,.609,W (+13)
328,2014-01-10,25,.429,W (+8)
329,2014-01-11,25,.500,W (+9)
330,2014-01-13,16,.333,L (-31)
331,2014-01-15,26,.500,L (-4)
332,2014-01-16,16,.375,W (+2)
333,2014-01-18,22,.438,W (+14)
334,2014-01-20,22,.467,L (-3)
335,2014-01-22,24,.438,W (+7)
336,2014-01-24,10,.182,W (+12)
337,2014-01-25,16,.462,W (+3)
338,2014-02-01,28,.588,L (-12)
339,2014-02-05,23,.400,W (+10)
340,2014-02-08,22,.429,W (+13)
341,2014-02-10,19,.286,W (+21)
342,2014-02-12,35,.571,L (-1)
343,2014-02-19,29,.556,L (-18)
344,2014-02-20,39,.519,W (+7)
345,2014-02-23,23,.400,W (+2)
346,2014-02-25,43,.550,W (+14)
347,2014-02-26,18,.375,W (+14)
348,2014-03-01,20,.438,W (+6)
349,2014-03-04,21,.600,W (+18)
350,2014-03-05,31,.579,W (+1)
351,2014-03-07,28,.588,W (+26)
352,2014-03-09,41,.429,L (-3)
353,2014-03-11,28,.429,W (+3)
354,2014-03-13,8,.286,W (+26)
355,2014-03-16,30,.438,L (-8)
356,2014-03-17,15,.500,W (+8)
357,2014-03-20,28,.563,W (+3)
358,2014-03-22,37,.600,W (+12)
359,2014-03-24,31,.579,W (+26)
360,2014-03-27,26,.529,W (+5)
361,2014-03-29,32,.409,L (-8)
362,2014-04-01,26,.400,L (-24)
363,2014-04-02,26,.412,L (-9)
364,2014-04-04,39,.409,W (+38)
365,2014-04-06,32,.391,W (+23)
366,2014-04-08,33,.667,W (+7)
367,2014-04-09,10,.111,W (+11)
368,2014-04-11,33,.500,W (+22)
369,2014-04-12,33,.455,L (-11)
370,2014-04-14,16,.250,L (-9)
371,2014-10-28,32,.412,W (+18)
372,2014-10-29,18,.333,W (+11)
373,2014-11-01,26,.357,W (+14)
374,2014-11-03,35,.389,W (+11)
375,2014-11-04,25,.462,W (+17)
376,2014-11-06,20,.533,W (+17)
377,2014-11-08,22,.333,L (-11)
378,2014-11-12,23,.348,W (+12)
379,2014-11-14,35,.417,W (+1)
380,2014-11-16,19,.294,W (+4)
381,2014-11-17,6,.125,L (-26)
382,2014-11-19,24,.636,L (-6)
383,2014-11-22,32,.444,W (+3)
384,2014-11-24,36,.500,W (+5)
385,2014-11-26,26,.323,W (+13)
386,2014-11-28,16,.417,L (-17)
387,2014-11-29,34,.643,W (+14)
388,2014-12-03,21,.545,W (+9)
389,2014-12-05,38,.647,W (+2)
390,2014-12-06,15,.238,W (+5)
391,2014-12-10,34,.519,L (-12)
392,2014-12-11,44,.438,W (+4)
393,2014-12-13,24,.350,W (+12)
394,2014-12-17,41,.524,W (+4)
395,2014-12-18,21,.348,L (-9)
396,2014-12-20,18,.313,L (-7)
397,2014-12-22,44,.538,W (+15)
398,2014-12-26,32,.588,W (+6)
399,2014-12-28,28,.556,L (-4)
400,2014-12-29,33,.522,L (-1)
401,2014-12-31,36,.632,W (+19)
402,2015-01-02,11,.385,L (-28)
403,2015-01-03,28,.529,W (+36)
404,2015-01-05,20,.318,L (-9)
405,2015-01-07,21,.333,W (+12)
406,2015-01-08,25,.471,W (+24)
407,2015-01-10,30,.571,W (+15)
408,2015-01-12,30,.692,W (+14)
409,2015-01-14,26,.625,L (-7)
410,2015-01-15,31,.600,W (+11)
411,2015-01-17,12,.267,L (-25)
412,2015-01-19,45,.667,W (+12)
413,2015-01-21,33,.444,L (-13)
414,2015-01-23,33,.444,W (+2)
415,2015-01-25,37,.600,W (+12)
416,2015-01-28,17,.500,W (+5)
417,2015-01-30,14,.190,W (+6)
418,2015-01-31,26,.588,L (-13)
419,2015-02-04,27,.450,W (+11)
420,2015-02-06,33,.643,W (+6)
421,2015-02-08,45,.440,L (-11)
422,2015-02-10,40,.565,W (+9)
423,2015-02-11,9,.250,L (-15)
424,2015-02-20,26,.429,L (-11)
425,2015-02-21,20,.417,W (+22)
426,2015-02-23,31,.350,W (+11)
427,2015-02-25,21,.308,W (+5)
428,2015-02-27,15,.267,W (+4)
429,2015-03-01,33,.444,W (+2)
430,2015-03-04,18,.438,L (-8)
431,2015-03-06,38,.476,L (-2)
432,2015-03-07,28,.421,W (+10)
433,2015-03-11,18,.368,W (+14)
434,2015-03-12,15,.231,L (-5)
435,2015-03-15,34,.438,L (-18)
436,2015-03-17,17,.286,W (+2)
437,2015-03-19,50,.444,W (+13)
438,2015-03-21,16,.263,W (+10)
439,2015-03-23,44,.476,L (-15)
440,2015-03-25,25,.450,W (+10)
441,2015-03-27,33,.474,W (+2)
442,2015-03-29,24,.350,W (+10)
443,2015-03-30,31,.409,W (+8)
444,2015-04-01,51,.640,L (-3)
445,2015-04-02,24,.400,W (+4)
446,2015-04-05,41,.545,W (+7)
447,2015-04-08,22,.400,W (+3)
448,2015-04-10,16,.263,L (-12)
449,2015-04-12,30,.556,L (-1)
450,2015-04-13,29,.350,W (+7)
451,2015-04-15,16,.375,W (+10)
452,2015-10-28,22,.286,L (-20)
453,2015-10-30,16,.222,L (-20)
454,2015-11-01,16,.133,L (-20)
455,2015-11-02,37,.462,W (+5)
456,2015-11-04,28,.273,W (+5)
457,2015-11-06,43,.565,W (+6)
458,2015-11-07,46,.538,W (+4)
459,2015-11-11,23,.364,L (-8)
460,2015-11-13,28,.474,L (-9)
461,2015-11-14,25,.238,L (-12)
462,2015-11-16,16,.400,L (-16)
463,2015-11-18,45,.379,W (+5)
464,2015-11-20,22,.467,L (-12)
465,2015-11-21,24,.400,L (-5)
466,2015-11-25,40,.632,L (-9)
467,2015-11-27,50,.500,W (+2)
468,2015-11-29,26,.357,W (+5)
469,2015-11-30,29,.400,L (-11)
470,2015-12-02,24,.350,W (+7)
471,2015-12-04,25,.435,W (+4)
472,2015-12-05,31,.429,W (+7)
473,2015-12-08,10,.222,L (-5)
474,2015-12-09,42,.565,W (+6)
475,2015-12-12,30,.524,W (+29)
476,2015-12-14,24,.450,L (-6)
477,2015-12-15,33,.556,L (-10)
478,2015-12-17,25,.292,W (+20)
479,2015-12-19,18,.308,W (+10)
480,2015-12-21,36,.563,W (+7)
481,2015-12-23,31,.667,L (-3)
482,2015-12-25,20,.333,W (+4)
483,2015-12-26,25,.381,L (-2)
484,2015-12-29,26,.375,L (-6)
485,2015-12-31,30,.421,L (-4)
486,2016-01-02,17,.600,L (-18)
487,2016-01-04,30,.360,W (+2)
488,2016-01-07,33,.520,W (+9)
489,2016-01-10,21,.400,W (+4)
490,2016-01-12,25,.462,W (+16)
491,2016-01-13,27,.364,W (+3)
492,2016-01-15,11,.200,L (-14)
493,2016-01-17,31,.588,W (+17)
494,2016-01-18,20,.417,L (-8)
495,2016-01-20,33,.409,L (-9)
496,2016-01-22,30,.600,W (+4)
497,2016-01-24,23,.389,W (+11)
498,2016-01-25,35,.550,W (+1)
499,2016-01-27,20,.500,L (-31)
500,2016-01-29,33,.364,L (-8)
501,2016-01-30,40,.600,L (-1)
502,2016-02-02,26,.526,W (+13)
503,2016-02-04,17,.211,W (+6)
504,2016-02-06,33,.389,L (-17)
505,2016-02-09,37,.476,L (-13)
506,2016-02-10,34,.500,L (-13)
507,2016-02-19,27,.375,W (+16)
508,2016-02-23,42,.533,L (-3)
509,2016-02-25,46,.615,W (+14)
510,2016-02-27,27,.400,L (-10)
511,2016-02-29,26,.500,L (-7)
512,2016-03-02,39,.458,W (+5)
513,2016-03-05,36,.385,L (-8)
514,2016-03-06,40,.550,W (+6)
515,2016-03-09,29,.308,W (+14)
516,2016-03-11,32,.474,W (+4)
517,2016-03-12,12,.143,L (-16)
518,2016-03-14,15,.375,W (+49)
519,2016-03-16,33,.478,L (-16)
520,2016-03-18,29,.550,W (+5)
521,2016-03-19,25,.412,L (-12)
522,2016-03-22,24,.412,L (-4)
