index,dates,points
683,2018-04-03,38
684,2018-04-05,24
685,2018-04-07,26
686,2018-04-10,21
687,2018-10-17,18
688,2018-10-20,36
689,2018-10-21,31
690,2018-10-24,29
691,2018-11-03,25
692,2018-11-05,28
693,2018-11-08,19
694,2018-11-10,25
695,2018-11-11,40
696,2018-11-13,22
697,2018-11-15,27
698,2018-11-17,34
699,2018-11-21,43
700,2018-11-23,33
701,2018-11-24,40
702,2018-11-26,54
703,2018-11-28,25
704,2018-11-30,23
705,2018-12-01,30
706,2018-12-03,29
707,2018-12-06,15
708,2018-12-08,35
709,2018-12-11,29
710,2018-12-13,50
711,2018-12-15,32
712,2018-12-17,47
713,2018-12-19,35
714,2018-12-20,35
715,2018-12-22,39
716,2018-12-25,41
717,2018-12-27,45
718,2018-12-29,41
719,2018-12-31,43
720,2019-01-03,44
721,2019-01-05,38
722,2019-01-07,32
723,2019-01-09,42
724,2019-01-11,43
725,2019-01-13,38
726,2019-01-14,57
727,2019-01-16,58
728,2019-01-19,48
729,2019-01-21,37
730,2019-01-23,61
731,2019-01-25,35
732,2019-01-27,40
733,2019-01-29,37
734,2019-02-01,30
735,2019-02-02,43
736,2019-02-04,44
737,2019-02-06,36
738,2019-02-09,42
739,2019-02-11,31
740,2019-02-13,42
