index,date,points
650,1967-12-08,26
651,1967-12-09,15
652,1967-12-12,14
653,1967-12-14,10
654,1967-12-15,23
655,1967-12-16,68
656,1967-12-17,47
657,1967-12-20,53
658,1967-12-25,15
659,1967-12-26,20
660,1967-12-27,27
661,1967-12-29,31
662,1967-12-30,30
663,1968-01-03,39
664,1968-01-05,35
665,1968-01-06,26
666,1968-01-07,36
667,1968-01-10,32
668,1968-01-12,36
669,1968-01-13,27
670,1968-01-17,19
671,1968-01-19,20
672,1968-01-20,18
673,1968-01-25,14
674,1968-01-26,22
675,1968-01-28,19
676,1968-01-30,23
677,1968-02-02,22
678,1968-02-03,25
679,1968-02-04,19
680,1968-02-07,21
681,1968-02-09,20
682,1968-02-10,16
683,1968-02-11,21
684,1968-02-13,16
685,1968-02-14,35
686,1968-02-16,20
687,1968-02-17,32
688,1968-02-18,34
689,1968-02-20,20
690,1968-02-23,31
691,1968-02-25,31
692,1968-02-27,33
693,1968-03-03,17
694,1968-03-05,31
695,1968-03-06,22
696,1968-03-07,38
697,1968-03-08,13
698,1968-03-10,28
699,1968-03-12,22
700,1968-03-13,16
701,1968-03-15,25
702,1968-03-16,35
703,1968-03-18,53
704,1968-03-19,22
705,1968-03-20,26
706,1968-10-18,15
707,1968-10-19,29
708,1968-10-22,19
709,1968-10-23,29
710,1968-10-25,24
711,1968-10-27,28
712,1968-10-29,25
713,1968-11-01,29
714,1968-11-05,24
715,1968-11-06,23
716,1968-11-08,13
717,1968-11-10,21
718,1968-11-15,21
719,1968-11-16,15
720,1968-11-17,17
721,1968-11-19,16
722,1968-11-22,20
723,1968-11-24,6
724,1968-11-26,23
725,1968-11-28,13
726,1968-11-29,14
727,1968-12-01,9
728,1968-12-03,35
729,1968-12-05,17
730,1968-12-06,20
731,1968-12-07,20
732,1968-12-08,35
733,1968-12-13,22
734,1968-12-14,22
735,1968-12-15,12
736,1968-12-17,2
737,1968-12-20,5
738,1968-12-22,16
739,1968-12-25,15
740,1968-12-26,17
741,1968-12-28,14
742,1968-12-29,22
743,1968-12-30,25
744,1968-12-31,25
745,1969-01-03,8
746,1969-01-04,7
747,1969-01-07,15
748,1969-01-10,10
749,1969-01-11,21
750,1969-01-17,27
751,1969-01-19,15
752,1969-01-21,4
753,1969-01-22,25
754,1969-01-24,11
755,1969-01-26,60
756,1969-01-28,26
757,1969-01-29,30
758,1969-01-31,19
759,1969-02-01,11
760,1969-02-02,23
761,1969-02-03,33
762,1969-02-07,18
763,1969-02-08,23
764,1969-02-09,66
765,1969-02-12,32
766,1969-02-14,25
767,1969-02-16,29
768,1969-02-18,31
769,1969-02-19,26
770,1969-02-21,35
771,1969-02-23,36
772,1969-02-25,14
773,1969-02-28,17
774,1969-03-01,15
775,1969-03-02,9
776,1969-03-04,22
777,1969-03-07,12
778,1969-03-09,25
779,1969-03-11,34
780,1969-03-12,5
781,1969-03-14,15
782,1969-03-16,11
783,1969-03-18,9
784,1969-03-19,9
785,1969-03-21,19
786,1969-03-23,25
787,1969-10-17,35
788,1969-10-18,12
789,1969-10-21,38
790,1969-10-22,43
791,1969-10-24,25
792,1969-10-25,42
793,1969-10-26,37
794,1969-11-02,25
795,1969-11-07,33
796,1970-03-18,15
797,1970-03-20,2
798,1970-03-22,21
799,1970-10-16,26
800,1970-10-17,23
801,1970-10-20,20
802,1970-10-21,26
803,1970-10-23,34
804,1970-10-25,24
805,1970-10-30,20
806,1970-11-03,23
